antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'M_75th_quantile_binned_M_75th_quantile_Q2', 'Sex_F', 'M_20th_quantile_binned_M_20th_quantile_Q3'})","frozenset({'M_25th_quantile_binned_M_25th_quantile_Q3', 'M_mean_binned_M_mean_Q2'})",0.11627906976744186,0.10465116279069768,0.10465116279069768,0.9,8.6,0.09248242293131423,8.953488372093025,1.0
"frozenset({'M_75th_quantile_binned_M_75th_quantile_Q2', 'M_25th_quantile_binned_M_25th_quantile_Q3', 'Sex_F'})","frozenset({'M_mean_binned_M_mean_Q2', 'M_20th_quantile_binned_M_20th_quantile_Q3'})",0.11627906976744186,0.10465116279069768,0.10465116279069768,0.9,8.6,0.09248242293131423,8.953488372093025,1.0
"frozenset({'M_mean_binned_M_mean_Q2', 'M_20th_quantile_binned_M_20th_quantile_Q3'})","frozenset({'M_75th_quantile_binned_M_75th_quantile_Q2', 'M_25th_quantile_binned_M_25th_quantile_Q3', 'Sex_F'})",0.10465116279069768,0.11627906976744186,0.10465116279069768,1.0,8.6,0.09248242293131423,inf,0.9870129870129869
"frozenset({'M_25th_quantile_binned_M_25th_quantile_Q3', 'M_mean_binned_M_mean_Q2'})","frozenset({'M_75th_quantile_binned_M_75th_quantile_Q2', 'Sex_F', 'M_20th_quantile_binned_M_20th_quantile_Q3'})",0.10465116279069768,0.11627906976744186,0.10465116279069768,1.0,8.6,0.09248242293131423,inf,0.9870129870129869
"frozenset({'M_75th_quantile_binned_M_75th_quantile_Q2', 'M_max_binned_M_max_Q1', 'M_20th_quantile_binned_M_20th_quantile_Q3', 'Sex_F'})","frozenset({'M_25th_quantile_binned_M_25th_quantile_Q3', 'M_mean_binned_M_mean_Q2'})",0.11627906976744186,0.10465116279069768,0.10465116279069768,0.9,8.6,0.09248242293131423,8.953488372093025,1.0
"frozenset({'M_75th_quantile_binned_M_75th_quantile_Q2', 'M_25th_quantile_binned_M_25th_quantile_Q3', 'M_max_binned_M_max_Q1', 'Sex_F'})","frozenset({'M_mean_binned_M_mean_Q2', 'M_20th_quantile_binned_M_20th_quantile_Q3'})",0.11627906976744186,0.10465116279069768,0.10465116279069768,0.9,8.6,0.09248242293131423,8.953488372093025,1.0
"frozenset({'M_mean_binned_M_mean_Q2', 'M_max_binned_M_max_Q1', 'M_20th_quantile_binned_M_20th_quantile_Q3'})","frozenset({'M_75th_quantile_binned_M_75th_quantile_Q2', 'M_25th_quantile_binned_M_25th_quantile_Q3', 'Sex_F'})",0.10465116279069768,0.11627906976744186,0.10465116279069768,1.0,8.6,0.09248242293131423,inf,0.9870129870129869
"frozenset({'M_25th_quantile_binned_M_25th_quantile_Q3', 'M_mean_binned_M_mean_Q2', 'M_max_binned_M_max_Q1'})","frozenset({'M_75th_quantile_binned_M_75th_quantile_Q2', 'Sex_F', 'M_20th_quantile_binned_M_20th_quantile_Q3'})",0.10465116279069768,0.11627906976744186,0.10465116279069768,1.0,8.6,0.09248242293131423,inf,0.9870129870129869
"frozenset({'M_75th_quantile_binned_M_75th_quantile_Q2', 'Sex_F', 'M_20th_quantile_binned_M_20th_quantile_Q3'})","frozenset({'M_25th_quantile_binned_M_25th_quantile_Q3', 'M_mean_binned_M_mean_Q2', 'M_max_binned_M_max_Q1'})",0.11627906976744186,0.10465116279069768,0.10465116279069768,0.9,8.6,0.09248242293131423,8.953488372093025,1.0
"frozenset({'M_75th_quantile_binned_M_75th_quantile_Q2', 'M_25th_quantile_binned_M_25th_quantile_Q3', 'Sex_F'})","frozenset({'M_mean_binned_M_mean_Q2', 'M_max_binned_M_max_Q1', 'M_20th_quantile_binned_M_20th_quantile_Q3'})",0.11627906976744186,0.10465116279069768,0.10465116279069768,0.9,8.6,0.09248242293131423,8.953488372093025,1.0
frozenset({'occupation_category_Unemployed'}),frozenset({'M_std_binned_M_std_Q1'}),0.13953488372093023,0.8023255813953488,0.13953488372093023,1.0,1.2463768115942029,0.027582477014602494,inf,0.2297297297297298
frozenset({'M_20th_quantile_binned_M_20th_quantile_Q2'}),frozenset({'M_25th_quantile_binned_M_25th_quantile_Q2'}),0.4418604651162791,0.45348837209302323,0.4418604651162791,1.0,2.2051282051282053,0.2414818820984316,inf,0.9791666666666667
frozenset({'M_25th_quantile_binned_M_25th_quantile_Q3'}),frozenset({'M_20th_quantile_binned_M_20th_quantile_Q3'}),0.3372093023255814,0.3372093023255814,0.3372093023255814,1.0,2.9655172413793105,0.22349918875067604,inf,0.9999999999999999
frozenset({'M_20th_quantile_binned_M_20th_quantile_Q3'}),frozenset({'M_25th_quantile_binned_M_25th_quantile_Q3'}),0.3372093023255814,0.3372093023255814,0.3372093023255814,1.0,2.9655172413793105,0.22349918875067604,inf,0.9999999999999999
frozenset({'M_20th_quantile_binned_M_20th_quantile_Q4'}),frozenset({'M_25th_quantile_binned_M_25th_quantile_Q4'}),0.16279069767441862,0.16279069767441862,0.16279069767441862,1.0,6.142857142857142,0.13628988642509465,inf,1.0
frozenset({'M_25th_quantile_binned_M_25th_quantile_Q4'}),frozenset({'M_20th_quantile_binned_M_20th_quantile_Q4'}),0.16279069767441862,0.16279069767441862,0.16279069767441862,1.0,6.142857142857142,0.13628988642509465,inf,1.0
frozenset({'M_50th_quantile_binned_M_50th_quantile_Q4'}),frozenset({'M_20th_quantile_binned_M_20th_quantile_Q4'}),0.13953488372093023,0.16279069767441862,0.13953488372093023,1.0,6.142857142857142,0.11681990265008112,inf,0.9729729729729729
frozenset({'M_75th_quantile_binned_M_75th_quantile_Q4'}),frozenset({'M_20th_quantile_binned_M_20th_quantile_Q4'}),0.13953488372093023,0.16279069767441862,0.13953488372093023,1.0,6.142857142857142,0.11681990265008112,inf,0.9729729729729729
frozenset({'M_mean_binned_M_mean_Q4'}),frozenset({'M_20th_quantile_binned_M_20th_quantile_Q4'}),0.13953488372093023,0.16279069767441862,0.13953488372093023,1.0,6.142857142857142,0.11681990265008112,inf,0.9729729729729729
frozenset({'M_median_binned_M_median_Q4'}),frozenset({'M_20th_quantile_binned_M_20th_quantile_Q4'}),0.13953488372093023,0.16279069767441862,0.13953488372093023,1.0,6.142857142857142,0.11681990265008112,inf,0.9729729729729729
frozenset({'M_50th_quantile_binned_M_50th_quantile_Q2'}),frozenset({'M_median_binned_M_median_Q2'}),0.5348837209302325,0.5348837209302325,0.5348837209302325,1.0,1.8695652173913044,0.24878312601406166,inf,1.0
frozenset({'M_median_binned_M_median_Q2'}),frozenset({'M_50th_quantile_binned_M_50th_quantile_Q2'}),0.5348837209302325,0.5348837209302325,0.5348837209302325,1.0,1.8695652173913044,0.24878312601406166,inf,1.0
frozenset({'M_75th_quantile_binned_M_75th_quantile_Q2'}),frozenset({'M_mean_binned_M_mean_Q2'}),0.5813953488372093,0.5465116279069767,0.5348837209302325,0.9199999999999998,1.6834042553191486,0.21714440237966465,5.668604651162778,0.9698067632850241
frozenset({'M_mean_binned_M_mean_Q2'}),frozenset({'M_75th_quantile_binned_M_75th_quantile_Q2'}),0.5465116279069767,0.5813953488372093,0.5348837209302325,0.9787234042553191,1.6834042553191488,0.21714440237966465,19.674418604651134,0.8952062430323299
frozenset({'M_75th_quantile_binned_M_75th_quantile_Q2'}),frozenset({'M_50th_quantile_binned_M_50th_quantile_Q2'}),0.5813953488372093,0.5348837209302325,0.5116279069767442,0.88,1.645217391304348,0.20064899945916714,3.8759689922480627,0.9368686868686871
frozenset({'M_50th_quantile_binned_M_50th_quantile_Q2'}),frozenset({'M_75th_quantile_binned_M_75th_quantile_Q2'}),0.5348837209302325,0.5813953488372093,0.5116279069767442,0.9565217391304349,1.645217391304348,0.20064899945916714,9.627906976744216,0.8431818181818181
frozenset({'M_50th_quantile_binned_M_50th_quantile_Q2'}),frozenset({'M_mean_binned_M_mean_Q2'}),0.5348837209302325,0.5465116279069767,0.5116279069767442,0.9565217391304349,1.7502312673450513,0.2193077339102218,10.430232558139569,0.9215909090909091
frozenset({'M_mean_binned_M_mean_Q2'}),frozenset({'M_50th_quantile_binned_M_50th_quantile_Q2'}),0.5465116279069767,0.5348837209302325,0.5116279069767442,0.9361702127659576,1.7502312673450513,0.2193077339102218,7.286821705426372,0.9452214452214454
frozenset({'M_75th_quantile_binned_M_75th_quantile_Q2'}),frozenset({'M_median_binned_M_median_Q2'}),0.5813953488372093,0.5348837209302325,0.5116279069767442,0.88,1.645217391304348,0.20064899945916714,3.8759689922480627,0.9368686868686871
frozenset({'M_median_binned_M_median_Q2'}),frozenset({'M_75th_quantile_binned_M_75th_quantile_Q2'}),0.5348837209302325,0.5813953488372093,0.5116279069767442,0.9565217391304349,1.645217391304348,0.20064899945916714,9.627906976744216,0.8431818181818181
